cell_id,cell_lat,cell_lon,centroid_lat,centroid_lon
10.200000000000001_77.4,10.200000000000001,77.4,10.250000000000002,77.45
13.200000000000001_74.9,13.200000000000001,74.9,13.250000000000002,74.95
13.5_74.9,13.5,74.9,13.55,74.95
13.200000000000001_74.7,13.200000000000001,74.7,13.250000000000002,74.75
9.200000000000001_76.80000000000001,9.200000000000001,76.80000000000001,9.250000000000002,76.85000000000001
15.100000000000001_74.0,15.100000000000001,74.0,15.150000000000002,74.05
13.9_74.9,13.9,74.9,13.950000000000001,74.95
9.9_76.80000000000001,9.9,76.80000000000001,9.950000000000001,76.85000000000001
9.600000000000001_76.9,9.600000000000001,76.9,9.650000000000002,76.95
10.9_76.80000000000001,10.9,76.80000000000001,10.950000000000001,76.85000000000001
11.3_77.30000000000001,11.3,77.30000000000001,11.350000000000001,77.35000000000001
15.9_74.2,15.9,74.2,15.950000000000001,74.25
15.8_74.10000000000001,15.8,74.10000000000001,15.850000000000001,74.15
12.5_75.8,12.5,75.8,12.55,75.85
10.100000000000001_76.3,10.100000000000001,76.3,10.150000000000002,76.35
11.600000000000001_76.60000000000001,11.600000000000001,76.60000000000001,11.650000000000002,76.65
13.100000000000001_75.60000000000001,13.100000000000001,75.60000000000001,13.150000000000002,75.65
13.5_75.7,13.5,75.7,13.55,75.75
15.8_74.0,15.8,74.0,15.850000000000001,74.05
15.8_73.9,15.8,73.9,15.850000000000001,73.95
13.4_74.9,13.4,74.9,13.450000000000001,74.95
15.600000000000001_74.0,15.600000000000001,74.0,15.650000000000002,74.05
10.700000000000001_76.2,10.700000000000001,76.2,10.750000000000002,76.25
10.200000000000001_77.0,10.200000000000001,77.0,10.250000000000002,77.05
15.3_76.4,15.3,76.4,15.350000000000001,76.45
15.700000000000001_74.3,15.700000000000001,74.3,15.750000000000002,74.35
15.600000000000001_74.3,15.600000000000001,74.3,15.650000000000002,74.35
15.4_74.4,15.4,74.4,15.450000000000001,74.45
10.9_76.9,10.9,76.9,10.950000000000001,76.95
13.4_75.3,13.4,75.3,13.450000000000001,75.35
15.8_74.3,15.8,74.3,15.850000000000001,74.35
12.8_75.4,12.8,75.4,12.850000000000001,75.45
10.100000000000001_76.5,10.100000000000001,76.5,10.150000000000002,76.55
15.600000000000001_74.2,15.600000000000001,74.2,15.650000000000002,74.25
10.8_76.0,10.8,76.0,10.850000000000001,76.05
16.7_73.4,16.7,73.4,16.75,73.45
14.200000000000001_76.9,14.200000000000001,76.9,14.250000000000002,76.95
9.5_77.2,9.5,77.2,9.55,77.25
13.4_75.10000000000001,13.4,75.10000000000001,13.450000000000001,75.15
17.2_74.60000000000001,17.2,74.60000000000001,17.25,74.65
10.9_76.2,10.9,76.2,10.950000000000001,76.25
9.200000000000001_76.60000000000001,9.200000000000001,76.60000000000001,9.250000000000002,76.65
16.6_74.2,16.6,74.2,16.650000000000002,74.25
11.700000000000001_76.5,11.700000000000001,76.5,11.750000000000002,76.55
16.8_74.3,16.8,74.3,16.85,74.35
17.6_75.2,17.6,75.2,17.650000000000002,75.25
11.100000000000001_77.2,11.100000000000001,77.2,11.150000000000002,77.25
